Year,Employment,Labor Force,Unemployment,Unemployment Rate,Area,Type
1994.0,87342.16666666667,91080.16666666667,3738.0,4.1000000000000005,"St. Cloud, MN",MSA
1995.0,89832.33333333333,93678.08333333333,3845.75,4.116666666666666,"St. Cloud, MN",MSA
1996.0,90755.08333333333,95323.0,4567.916666666667,4.783333333333333,"St. Cloud, MN",MSA
1997.0,90727.83333333333,94532.25,3804.4166666666665,4.016666666666667,"St. Cloud, MN",MSA
1998.0,92323.41666666667,95247.08333333333,2923.6666666666665,3.0416666666666665,"St. Cloud, MN",MSA
1999.0,96285.58333333333,99132.75,2847.1666666666665,2.858333333333333,"St. Cloud, MN",MSA
2000.0,95476.5,98534.58333333333,3058.0833333333335,3.108333333333333,"St. Cloud, MN",MSA
2001.0,97033.66666666667,100957.33333333333,3923.6666666666665,3.891666666666667,"St. Cloud, MN",MSA
2002.0,97282.83333333333,101856.83333333333,4574.0,4.491666666666666,"St. Cloud, MN",MSA
2003.0,97276.66666666667,102189.91666666667,4913.25,4.8,"St. Cloud, MN",MSA
2004.0,97681.75,102428.66666666667,4746.916666666667,4.633333333333334,"St. Cloud, MN",MSA
2005.0,98316.58333333333,102888.75,4572.166666666667,4.441666666666666,"St. Cloud, MN",MSA
2006.0,99704.75,104014.75,4310.0,4.1499999999999995,"St. Cloud, MN",MSA
2007.0,100899.41666666667,105843.91666666667,4944.5,4.666666666666667,"St. Cloud, MN",MSA
2008.0,100195.75,106260.16666666667,6064.416666666667,5.716666666666666,"St. Cloud, MN",MSA
2009.0,98536.25,107143.0,8606.75,8.025,"St. Cloud, MN",MSA
2010.0,98878.58333333333,106884.25,8005.666666666667,7.491666666666667,"St. Cloud, MN",MSA
2011.0,100427.91666666667,107457.91666666667,7030.0,6.533333333333334,"St. Cloud, MN",MSA
2012.0,101560.75,107625.16666666667,6064.416666666667,5.641666666666667,"St. Cloud, MN",MSA
2013.0,102609.25,108207.75,5598.5,5.183333333333334,"St. Cloud, MN",MSA
2014.0,104856.0,109637.75,4781.75,4.358333333333333,"St. Cloud, MN",MSA
2015.0,105747.58333333333,109986.41666666667,4238.833333333333,3.8666666666666667,"St. Cloud, MN",MSA
2016.0,106371.25,110682.58333333333,4311.333333333333,3.891666666666666,"St. Cloud, MN",MSA
2017.0,107637.41666666667,111541.41666666667,3904.0,3.5,"St. Cloud, MN",MSA
2018.0,107923.25,111451.08333333333,3527.8333333333335,3.1666666666666665,"St. Cloud, MN",MSA
2019.0,108907.41666666667,112563.41666666667,3656.0,3.233333333333333,"St. Cloud, MN",MSA
2020.0,106293.41666666667,112961.25,6667.833333333333,5.8999999999999995,"St. Cloud, MN",MSA
2021.0,105712.16666666667,110317.16666666667,4605.0,4.183333333333333,"St. Cloud, MN",MSA
1990.0,18504.166666666668,19253.0,748.8333333333334,3.9000000000000004,"St. George, UT",MSA
1991.0,20097.166666666668,21060.083333333332,962.9166666666666,4.575,"St. George, UT",MSA
1992.0,21773.166666666668,22754.25,981.0833333333334,4.316666666666666,"St. George, UT",MSA
1993.0,25155.583333333332,26100.0,944.4166666666666,3.625,"St. George, UT",MSA
1994.0,29674.083333333332,30582.583333333332,908.5,2.975,"St. George, UT",MSA
1995.0,31920.333333333332,32969.416666666664,1049.0833333333333,3.191666666666667,"St. George, UT",MSA
1996.0,33566.416666666664,34780.083333333336,1213.6666666666667,3.4916666666666667,"St. George, UT",MSA
1997.0,34270.583333333336,35448.666666666664,1178.0833333333333,3.3249999999999997,"St. George, UT",MSA
1998.0,35953.5,37287.25,1333.75,3.5749999999999997,"St. George, UT",MSA
1999.0,37481.666666666664,38810.916666666664,1329.25,3.4166666666666665,"St. George, UT",MSA
2000.0,38062.833333333336,39448.5,1385.6666666666667,3.5083333333333333,"St. George, UT",MSA
2001.0,40234.5,41947.916666666664,1713.4166666666667,4.075,"St. George, UT",MSA
2002.0,42252.666666666664,44540.416666666664,2287.75,5.133333333333334,"St. George, UT",MSA
2003.0,44910.333333333336,47405.333333333336,2495.0,5.266666666666667,"St. George, UT",MSA
2004.0,49487.333333333336,52020.583333333336,2533.25,4.883333333333333,"St. George, UT",MSA
2005.0,55039.25,57341.083333333336,2301.8333333333335,4.0249999999999995,"St. George, UT",MSA
2006.0,60209.833333333336,62002.916666666664,1793.0833333333333,2.9,"St. George, UT",MSA
2007.0,62605.916666666664,64363.083333333336,1757.1666666666667,2.733333333333333,"St. George, UT",MSA
2008.0,59580.916666666664,62393.666666666664,2812.75,4.516666666666667,"St. George, UT",MSA
2009.0,54483.833333333336,60332.833333333336,5849.0,9.700000000000001,"St. George, UT",MSA
2010.0,50576.916666666664,56587.666666666664,6010.75,10.608333333333333,"St. George, UT",MSA
2011.0,50507.0,55670.0,5163.0,9.275,"St. George, UT",MSA
2012.0,52667.416666666664,56087.75,3420.3333333333335,6.1000000000000005,"St. George, UT",MSA
2013.0,55558.583333333336,58522.916666666664,2964.3333333333335,5.058333333333334,"St. George, UT",MSA
2014.0,58391.75,60943.833333333336,2552.0833333333335,4.183333333333334,"St. George, UT",MSA
2015.0,60796.0,63321.916666666664,2525.9166666666665,3.983333333333333,"St. George, UT",MSA
2016.0,64588.25,67019.58333333333,2431.3333333333335,3.625,"St. George, UT",MSA
2017.0,68349.08333333333,70733.66666666667,2384.5833333333335,3.3666666666666667,"St. George, UT",MSA
2018.0,71793.66666666667,74158.83333333333,2365.1666666666665,3.1916666666666664,"St. George, UT",MSA
2019.0,74124.08333333333,76350.0,2225.9166666666665,2.908333333333333,"St. George, UT",MSA
2020.0,75015.41666666667,79208.66666666667,4193.25,5.316666666666666,"St. George, UT",MSA
2021.0,79905.5,82023.41666666667,2117.9166666666665,2.5749999999999997,"St. George, UT",MSA
1990.0,51968.916666666664,55687.333333333336,3718.4166666666665,6.658333333333334,"St. Joseph, MO-KS",MSA
1991.0,51837.666666666664,56373.583333333336,4535.916666666667,8.049999999999999,"St. Joseph, MO-KS",MSA
1992.0,51819.583333333336,55902.583333333336,4083.0,7.3,"St. Joseph, MO-KS",MSA
1993.0,51614.75,56408.166666666664,4793.416666666667,8.5,"St. Joseph, MO-KS",MSA
1994.0,52075.666666666664,57215.916666666664,5140.25,8.983333333333333,"St. Joseph, MO-KS",MSA
1995.0,54501.25,58597.416666666664,4096.166666666667,6.991666666666667,"St. Joseph, MO-KS",MSA
1996.0,54307.166666666664,58154.916666666664,3847.75,6.616666666666667,"St. Joseph, MO-KS",MSA
1997.0,56677.083333333336,59802.083333333336,3125.0,5.2250000000000005,"St. Joseph, MO-KS",MSA
1998.0,57416.583333333336,60125.666666666664,2709.0833333333335,4.5,"St. Joseph, MO-KS",MSA
1999.0,58283.666666666664,60407.0,2123.3333333333335,3.5083333333333333,"St. Joseph, MO-KS",MSA
2000.0,58254.75,60439.25,2184.5,3.6166666666666667,"St. Joseph, MO-KS",MSA
2001.0,58439.0,61545.916666666664,3106.9166666666665,5.033333333333333,"St. Joseph, MO-KS",MSA
2002.0,58161.75,61786.666666666664,3624.9166666666665,5.858333333333333,"St. Joseph, MO-KS",MSA
2003.0,59355.166666666664,63036.0,3680.8333333333335,5.841666666666668,"St. Joseph, MO-KS",MSA
2004.0,60317.25,64282.75,3965.5,6.158333333333334,"St. Joseph, MO-KS",MSA
